mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
120	120	359	359	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	643
121	121	360	360	3.0	0	0	3/4	2	2	3/4		1/2	3/2	-1	-1	41	F2	2	652
121	121	360	360	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	0	48	C3	3	647
121	121	361	361	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		2	50	D3	3	648
121	121	723/2	723/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	51	Eb3	3	649
121	121	362	362	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		2	50	D3	3	650
121	121	725/2	725/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		0	48	C3	3	651
122	122	363	363	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	-1	41	F2	2	657
122	122	363	363	2.0	0	0	3/4	2	1	1/2		1/2	1		2	50	D3	3	655
122	122	364	364	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-4	56	Ab3	3	653
122	122	364	364	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	653
122	122	365	365	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	656
122	122	365	365	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	60	C4	4	654
122	122	365	365	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	654
123	123	366	366	3.0	0	0	3/4	2	2	3/4		1/2	3/2	-1	-1	41	F2	2	662
123	123	366	366	2.0	0	0	3/4	2	1	1/2		1/2	1		1	55	G3	3	660
123	123	367	367	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-4	56	Ab3	3	658
123	123	367	367	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	658
123	123	368	368	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	661
123	123	368	368	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	60	C4	4	659
123	123	368	368	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	659
124	124	369	369	3.0	0	0	3/4	2	2	3/4		1/2	3/2	1	1	43	G2	2	667
124	124	369	369	2.0	0	0	3/4	2	1	1/2		1/2	1		-1	53	F3	3	665
124	124	370	370	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-2	58	Bb3	3	663
124	124	370	370	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	64	E4	4	663
124	124	371	371	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	4	52	E3	3	666
124	124	371	371	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-5	61	Db4	4	664
124	124	371	371	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	664
125	125	372	372	1.0	0	0	3/4	2	2	1/4		1/4	1	-1	1	43	G2	2	672
125	125	372	372	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	4	52	E3	3	671
125	125	372	372	1.0	0	0	3/4	1	1	1/4		1/4	1		4	64	E4	4	668
125	125	372	372	1.0	0	0	3/4	1	1	1/4		1/4	1		-5	73	Db5	5	668
125	125	373	373	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	669
125	125	373	373	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76	E5	5	669
125	125	374	374	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-5	73	Db5	5	670
125	125	374	374	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	82	Bb5	5	670
126	126	375	375	0.0	0	0	3/4	1	1	0	grace16	1/16	1		5	59	B3	3	673
126	126	375	375	0.0	0	0	3/4	1	1	0	grace16	1/16	1		4	64	E4	4	674
