mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
27	25	74	74	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	203								
28	26	151/2	151/2	0.0		0	0	Dynamic	6/8	1	1	0					f							
28	26	151/2	151/2	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	204				31				
28	26	76	76	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	205				31				
28	26	153/2	153/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	206				31				
28	26	77	77	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	207		articStaccatoBelow						
28	26	78	78	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	208		articAccentBelow						
28	26	151/2	151/2	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	209				32				
28	26	76	76	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	210				32				
28	26	153/2	153/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	211				32				
28	26	77	77	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	212		articStaccatoAbove						
29	27	157/2	157/2	0.0		0	0	Dynamic	6/8	1	1	0					f							
29	27	157/2	157/2	0.0		0	0	StaffText	6/8	1	1	0							più					
29	27	157/2	157/2	0.375		0	0	Chord	6/8	1	1	3/32		1/8	3/4	213								
29	27	631/8	631/8	0.375		3/32	3/32	Chord	6/8	1	1	3/32		1/8	3/4	214		articStaccatoBelow		33				
29	27	317/4	317/4	0.375		3/16	3/16	Chord	6/8	1	1	3/32		1/8	3/4	215		articStaccatoBelow		33				
29	27	637/8	637/8	0.375		9/32	9/32	Chord	6/8	1	1	3/32		1/8	3/4	216		articStaccatoBelow		33				
29	27	80	80	0.1875		3/8	3/8	Chord	6/8	1	1	3/64		1/16	3/4	217		articStaccatoBelow		33				
29	27	1283/16	1283/16	0.1875		27/64	27/64	Chord	6/8	1	1	3/64		1/16	3/4	218		articStaccatoBelow		33				
29	27	643/8	643/8	0.1875		15/32	15/32	Chord	6/8	1	1	3/64		1/16	3/4	219		articStaccatoBelow		33				
29	27	1289/16	1289/16	0.1875		33/64	33/64	Chord	6/8	1	1	3/64		1/16	3/4	220		articStaccatoBelow		33				
