mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
94	93	184	186	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	778		articStaccatoAbove											
94	93	369/2	373/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	779													
94	93	739/4	747/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	780													
94	93	185	187	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	781		articAccentAbove											
94	93	743/4	751/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	782													
94	93	184	186	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	783		articStaccatoBelow											
94	93	369/2	373/2	0.25		1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	784													
94	93	739/4	747/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	785													
94	93	185	187	0.75		1/4	1/4	Chord	2/4	2	2	3/16		1/8	3/2	786		articAccentBelow											
94	93	743/4	751/4	0.25		7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	787													
95	94	187	189	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	788		articStaccatoAbove											
95	94	375/2	379/2	0.0		3/8	3/8	Spanner	2/4	1	1	0																	1
95	94	375/2	379/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	789													1
95	94	751/4	759/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	790													1
95	94	186	188	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	791		articStaccatoAbove											
95	94	373/2	377/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	792													
95	94	747/4	755/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	793													
95	94	187	189	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	794		articStaccatoAbove											
95	94	375/2	379/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	795													
95	94	751/4	759/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	796													
95	94	186	188	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	797		articStaccatoBelow											
95	94	373/2	377/2	0.25		1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	798													
95	94	747/4	755/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	799													
96	95	188	190	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	800		articStaccatoBelow											1
96	95	377/2	381/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	801													1
96	95	755/4	763/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	802													1
96	95	189	191	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	803		articStaccatoAbove											1
96	95	379/2	383/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	804													1
96	95	759/4	767/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	805													1
96	95	188	190	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	806		articStaccatoAbove											
96	95	377/2	381/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	807													
96	95	755/4	763/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	808													
96	95	189	191	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	809		articStaccatoAbove											
96	95	379/2	383/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	810													
96	95	759/4	767/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	811													
97	96	190	192	0.0		0	0	Spanner	2/4	1	1	0																	
98	97	192	194	0.0		0	0	StaffText	2/4	1	1	0							"<font size=""12""/><font face=""Times New Roman""/><b>Tempo I.</b>"										
98	97	192	194	0.0		0	0	Dynamic	2/4	1	1	0					fff												
98	97	192	194	0.0		0	0	Spanner	2/4	1	1	0														1			
98	97	192	194	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	812		articStaccatoAbove								1			
98	97	385/2	389/2	0.0		1/8	1/8	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>marcatissimo</i>"							1			
98	97	385/2	389/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	813										1			
98	97	771/4	779/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	814										1			
98	97	193	195	0.0		1/4	1/4	Spanner	2/4	1	1	0																	
98	97	192	194	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	815		articStaccatoBelow											
98	97	385/2	389/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	816													
98	97	771/4	779/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	817													
98	97	193	195	0.0		1/4	1/4	Spanner	2/4	2	1	0															2	2	
98	97	193	195	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	818		articAccentAbove									2	2	
98	97	193	195	1.0		1/4	1/4	Chord	2/4	2	2	1/4	c32	1/4	1	819		articAccentBelow									2	2	
98	97	193	195	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	820											2	2	
98	97	193	195	1.0		1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	821											2	2	
99	98	194	196	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	822											2	2	
99	98	196	198	0.0		1/2	1/2	Spanner	2/4	2	1	0																	
99	98	194	196	2.0		0	0	Chord	2/4	2	2	1/2	c32	1/2	1	823													
99	98	194	196	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	824													
99	98	194	196	2.0		0	0	Chord	2/4	2	3	1/2		1/2	1	825													
