mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
35	35	417/4	417/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	226													
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0												55				0
35	35	102	102	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	227									55				0
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	228									55				0
36	36	106	106	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	229									58				
36	36	425/4	425/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	230													
36	36	107	107	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	231									59				
36	36	429/4	429/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	232													
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0												55				
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0												55			0	
36	36	105	105	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	233									55			0	
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	234									55			0	
37	37	108	108	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	235													
37	37	109	109	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	236									60				
37	37	437/4	437/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	237													
37	37	110	110	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	238									61				
37	37	441/4	441/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	239													
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																
37	37	108	108	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	240													
38	38	111	111	0.0	0	0	StaffText	3/4	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>cantabile</i>"										
38	38	111	111	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	241		articAccentAbove											
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	242		articAccentAbove											
38	38	112	112	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	243									62				
38	38	449/4	449/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	244													
38	38	113	113	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	245									63				
38	38	453/4	453/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	246													
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	247													
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	248		articStaccatoAbove											
