mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
28	27	105	105	1.5	0	0	Chord	2/2	1	2	3/8	1/4	3/2	223							0		
28	27	213/2	213/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	224							0		
28	27	107	107	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	225							0		
28	27	108	108	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	226							0		
29	28	109	109	0.0	0	0	Dynamic	2/2	1	1	0				f								
29	28	109	109	0.0	0	0	Spanner	2/2	1	1	0												
29	28	109	109	4.0	0	0	Chord	2/2	1	1	1	1	1	227									
29	28	109	109	4.0	0	0	Chord	2/2	1	2	1	1	1	228									
30	29	113	113	0.0	0	0	Spanner	2/2	2	1	0											1	1
30	29	229/2	229/2	0.07142857142857142	3/8	3/8	Chord	2/2	2	1	1/56	1/32	4/7	229					17			1	1
30	29	802/7	802/7	0.07142857142857142	11/28	11/28	Chord	2/2	2	1	1/56	1/32	4/7	230					17			1	1
30	29	1605/14	1605/14	0.07142857142857142	23/56	23/56	Chord	2/2	2	1	1/56	1/32	4/7	231					17			1	1
30	29	803/7	803/7	0.07142857142857142	3/7	3/7	Chord	2/2	2	1	1/56	1/32	4/7	232					17			1	1
30	29	1607/14	1607/14	0.07142857142857142	25/56	25/56	Chord	2/2	2	1	1/56	1/32	4/7	233					17			1	1
30	29	804/7	804/7	0.07142857142857142	13/28	13/28	Chord	2/2	2	1	1/56	1/32	4/7	234					17			1	1
30	29	1609/14	1609/14	0.07142857142857142	27/56	27/56	Chord	2/2	2	1	1/56	1/32	4/7	235								1	1
30	29	233/2	233/2	0.07142857142857142	7/8	7/8	Chord	2/2	2	1	1/56	1/32	4/7	236					18			1	1
30	29	816/7	816/7	0.07142857142857142	25/28	25/28	Chord	2/2	2	1	1/56	1/32	4/7	237					18			1	1
30	29	1633/14	1633/14	0.07142857142857142	51/56	51/56	Chord	2/2	2	1	1/56	1/32	4/7	238					18			1	1
30	29	817/7	817/7	0.07142857142857142	13/14	13/14	Chord	2/2	2	1	1/56	1/32	4/7	239					18			1	1
30	29	1635/14	1635/14	0.07142857142857142	53/56	53/56	Chord	2/2	2	1	1/56	1/32	4/7	240					18			1	1
30	29	818/7	818/7	0.07142857142857142	27/28	27/28	Chord	2/2	2	1	1/56	1/32	4/7	241					18			1	1
30	29	1637/14	1637/14	0.07142857142857142	55/56	55/56	Chord	2/2	2	1	1/56	1/32	4/7	242								1	1
30	29	113	113	0.0	0	0	Dynamic	2/2	2	2	0				pp							1	1
30	29	113	113	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	243								1	1
30	29	115	115	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	244								1	1
31	30	120	120	0.0	3/4	3/4	Spanner	2/2	1	1	0										1		
31	30	120	120	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	245							1		
31	30	361/3	361/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	246							1		
31	30	362/3	362/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	247							1		
31	30	120	120	0.3333333333333333	3/4	3/4	Chord	2/2	1	2	1/12	1/8	2/3	248							1		
31	30	361/3	361/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	2	1/12	1/8	2/3	249							1		
31	30	362/3	362/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	2	1/12	1/8	2/3	250							1		
31	30	117	117	0.0	0	0	Spanner	2/2	2	1	0												
31	30	117	117	3.0	0	0	Chord	2/2	2	1	3/4	1/2	3/2	251									
32	31	121	121	0.0	0	0	Spanner	2/2	1	1	0												
32	31	121	121	0.0	0	0	Spanner	2/2	1	1	0									0			
32	31	121	121	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	252						0			
32	31	245/2	245/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	253						0			
32	31	123	123	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	254						0			
32	31	124	124	0.0	3/4	3/4	Spanner	2/2	1	1	0												
32	31	124	124	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	255									
32	31	121	121	1.5	0	0	Chord	2/2	1	2	3/8	1/4	3/2	256									
32	31	245/2	245/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	257									
32	31	123	123	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	258									
32	31	124	124	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	259									
33	32	125	125	4.0	0	0	Chord	2/2	1	1	1	1	1	260									
33	32	125	125	4.0	0	0	Chord	2/2	1	2	1	1	1	261									
33	32	125	125	4.0	0	0	Chord	2/2	2	1	1	1	1	262									
34	33	129	129	0.0	0	0	Spanner	2/2	2	1	0											2	2
